,Unnamed: 0,xmin,ymin,xmax,ymax,confidence,raw_x,raw_y,x,y,d,r,g,b
839,839,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
840,840,301.0,121.0,333.5,148.5,0.403564453125,317.25,134.75,238.93373286146723,260.568359375,223,115,116,126
841,841,304.25,123.75,333.75,147.75,0.583984375,319.0,135.75,239.58371171652422,261.263671875,0,255,255,255
842,842,304.5,123.75,334.0,147.75,0.46142578125,319.25,135.75,239.67656583867517,261.263671875,0,255,255,255
843,843,305.0,123.5,334.5,148.0,0.451171875,319.75,135.75,239.8622740829772,261.263671875,0,255,255,255
844,844,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
845,845,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
846,846,305.0,122.375,338.0,146.875,0.41943359375,321.5,134.625,240.5122529380342,260.4814453125,5,111,116,124
847,847,305.0,122.25,338.0,146.75,0.53369140625,321.5,134.5,240.5122529380342,260.39453125,5,116,119,127
848,848,305.5,122.125,338.0,146.625,0.59375,321.75,134.375,240.60510706018516,260.3076171875,5,112,119,127
849,849,305.5,121.8125,338.5,146.5,0.59521484375,322.0,134.15625,240.69796118233614,260.155517578125,7,109,114,125
850,850,306.0,121.625,338.5,146.375,0.64697265625,322.25,134.0,240.79081530448718,260.046875,5,113,118,129
851,851,306.25,121.4375,338.75,146.25,0.654296875,322.5,133.84375,240.88366942663814,259.938232421875,214,115,116,126
852,852,307.0,121.1875,339.0,146.25,0.720703125,323.0,133.71875,241.06937767094016,259.851318359375,209,114,114,125
853,853,307.0,121.1875,339.5,146.375,0.72119140625,323.25,133.78125,241.1622317930911,259.894775390625,209,113,114,122
854,854,308.0,120.875,339.5,146.375,0.76611328125,323.75,133.625,241.34794003739316,259.7861328125,210,114,114,124
855,855,308.25,121.125,338.75,146.875,0.78955078125,323.5,134.0,241.25508591524215,260.046875,203,114,115,123
856,856,308.75,120.75,339.25,146.75,0.81396484375,324.0,133.75,241.44079415954414,259.873046875,210,111,112,122
857,857,308.5,120.125,340.5,146.125,0.76220703125,324.5,133.125,241.62650240384613,259.4384765625,210,112,113,123
858,858,309.0,120.0,340.5,146.0,0.751953125,324.75,133.0,241.71935652599717,259.3515625,210,109,112,121
859,859,308.5,120.625,339.5,146.375,0.794921875,324.0,133.5,241.44079415954414,259.69921875,210,112,113,123
860,860,309.0,120.3125,340.0,146.125,0.7919921875,324.5,133.21875,241.62650240384613,259.503662109375,210,111,111,121
861,861,309.75,119.6875,340.25,145.5,0.794921875,325.0,132.59375,241.81221064814812,259.069091796875,210,114,113,122
862,862,311.75,118.0,340.75,145.5,0.78759765625,326.25,131.75,242.27648125890312,258.482421875,198,114,113,124
863,863,311.5,117.75,341.0,145.5,0.7900390625,326.25,131.625,242.27648125890312,258.3955078125,194,114,113,123
864,864,311.75,117.625,341.25,145.625,0.78662109375,326.5,131.625,242.36933538105407,258.3955078125,199,115,116,123
865,865,312.25,117.125,341.75,145.125,0.78759765625,327.0,131.125,242.55504362535612,258.0478515625,195,116,117,124
866,866,312.0,116.9375,342.0,145.25,0.79296875,327.0,131.09375,242.55504362535612,258.026123046875,195,115,114,124
867,867,312.0,116.75,342.5,145.25,0.7939453125,327.25,131.0,242.6478977475071,257.9609375,192,116,115,125
868,868,312.25,116.875,342.75,144.875,0.78857421875,327.5,130.875,242.74075186965808,257.8740234375,195,115,114,124
869,869,311.75,117.0,342.75,145.0,0.7822265625,327.25,131.0,242.6478977475071,257.9609375,193,118,117,128
870,870,312.5,116.875,343.0,144.875,0.77197265625,327.75,130.875,242.8336059918091,257.8740234375,194,111,112,122
871,871,312.5,116.6875,342.5,144.875,0.7890625,327.5,130.78125,242.74075186965808,257.808837890625,195,116,117,127
872,872,312.25,116.75,342.75,144.75,0.791015625,327.5,130.75,242.74075186965808,257.787109375,196,112,111,121
873,873,312.5,116.4375,343.0,144.375,0.7978515625,327.75,130.40625,242.8336059918091,257.548095703125,194,108,115,123
874,874,312.5,116.5,343.0,144.5,0.8017578125,327.75,130.5,242.8336059918091,257.61328125,195,117,116,126
875,875,312.75,116.3125,343.25,144.25,0.7939453125,328.0,130.28125,242.92646011396013,257.461181640625,196,116,117,124
876,876,313.0,115.9375,342.5,144.0,0.7978515625,327.75,129.96875,242.8336059918091,257.243896484375,195,117,118,125
877,877,312.75,115.9375,342.75,144.0,0.79248046875,327.75,129.96875,242.8336059918091,257.243896484375,196,114,115,122
878,878,312.25,115.625,341.75,144.375,0.79736328125,327.0,130.0,242.55504362535612,257.265625,194,119,120,127
879,879,312.25,115.9375,341.75,144.625,0.79248046875,327.0,130.28125,242.55504362535612,257.461181640625,194,112,114,125
880,880,312.25,116.0,341.75,144.25,0.77880859375,327.0,130.125,242.55504362535612,257.3525390625,194,118,117,127
881,881,312.0,116.25,342.0,144.25,0.73291015625,327.0,130.25,242.55504362535612,257.439453125,195,114,115,125
882,882,311.5,116.0,341.5,144.5,0.73583984375,326.5,130.25,242.36933538105407,257.439453125,195,117,116,126
883,883,311.75,116.1875,341.75,144.25,0.68017578125,326.75,130.21875,242.4621895032051,257.417724609375,196,116,115,125
884,884,311.75,115.25,341.75,143.75,0.7705078125,326.75,129.5,242.4621895032051,256.91796875,183,115,116,123
885,885,312.0,115.0625,341.5,144.0,0.7705078125,326.75,129.53125,242.4621895032051,256.939697265625,186,114,113,123
886,886,311.75,115.0,341.25,143.75,0.77734375,326.5,129.375,242.36933538105407,256.8310546875,188,108,114,124
887,887,312.0,114.5,341.5,144.0,0.775390625,326.75,129.25,242.4621895032051,256.744140625,185,113,114,124
888,888,312.25,114.6875,341.25,143.125,0.7705078125,326.75,128.90625,242.4621895032051,256.505126953125,182,114,115,125
889,889,312.25,114.75,341.25,143.25,0.72021484375,326.75,129.0,242.4621895032051,256.5703125,188,117,117,125
890,890,312.25,114.5,340.25,142.25,0.74951171875,326.25,128.375,242.27648125890312,256.1357421875,183,114,115,122
